espèce,specimen,Pays,méthode d'identification,numéros d'accès
ostoyae,C2,France,Souches test haploïdes,JN657459
'',C4,France,'',JN657460
'',C5,France,'',HQ232289
'',D20,Suisse,Interstérilité et phylogénie,JN657463
'',BRNM706815,Rép. Tchèque,Phylogénie,EU257717
borealis,A1,Finlande,Souches test haploïdes,JN657467
'',A2,Finlande,'',HQ232287
'',A5,Allemagne,'',JN657468
cepistipes,B2,Finlande,Souches test haploïdes,HQ232288
'',B3,Finlande,'',JN657445
'',B5,Italy,'',JN657446
'',BRNM706814,Rép. Tchèque,Mophologie et phylogénie,EU257715
gallica,E4,France,Souches test haploïdes,JN657452
'',E5,France,'',HQ232291
'',E6,France,'',JN657453
'',BRNM706835,Rép. Tchèque,Mophologie et phylogénie,EU257718
mellea,D1,France,Souches test haploïdes,JN657464
'',D4,France,'',HQ232290
'',D5,France,'',JN657465
'',HY-3,Ukraine,Interstérilité et phylogénie,JN657466
'',94\_5,Japon,'',AB510880
'',A\_12,Japon,'',AB510863
tabescens,HAt1S5,Ukraine,Mophologie et phylogénie,HQ232292
'',HAt2S5,Ukraine,'',HQ232293
'',HAt5S3,Ukraine,'',HQ232294
'',96\_1\_8,Japon,Interstérilité et phylogénie,AB510867
'',96\_3\_3,Japon,'',AB510868
